document_id,positive_score,negative_score,polarity_score,subjectivity_score,word_count,sentence_count,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_count,personal_pronoun_count,avg_word_length
1,0,0,0.0,0.33409090909090905,172,6,28.666666666666668,41.27906976744186,27.97829457364341,28.666666666666668,71,450,2,8.523255813953488
2,15,1,0.875,0.4320005328005328,1145,54,21.203703703703702,52.66375545851528,29.54698366488759,21.203703703703702,603,3119,1,8.078602620087336
3,4,0,1.0,0.42456709956709954,155,6,25.833333333333332,37.41935483870968,25.301075268817204,25.833333333333332,58,381,4,7.593548387096774
4,2,1,0.3333333333333333,0.3358585858585858,201,8,25.125,35.32338308457712,24.17935323383085,25.125,71,471,4,7.069651741293533
5,0,1,-1.0,0.3243464052287581,162,3,54.0,38.88888888888889,37.15555555555556,54.0,63,409,3,7.993827160493828
6,4,0,1.0,0.42083333333333334,285,8,35.625,36.84210526315789,28.986842105263158,35.625,105,703,7,7.329824561403509
7,1,0,1.0,0.2307359307359307,146,6,24.333333333333332,37.67123287671233,24.801826484018267,24.333333333333332,55,359,2,7.602739726027397
8,4,0,1.0,0.46488095238095245,574,37,15.513513513513514,33.79790940766551,19.72456916847161,15.513513513513514,194,1278,12,6.942508710801394
9,8,1,0.7777777777777778,0.44022988505747124,375,24,15.625,21.333333333333336,14.783333333333335,15.625,80,744,20,6.226666666666667
10,0,0,0.0,0.4121212121212121,204,10,20.4,35.78431372549019,22.473725490196077,20.4,73,471,0,7.122549019607843
11,0,0,0.0,0.4052083333333333,167,5,33.4,38.92215568862276,28.928862275449106,33.4,65,417,0,7.62874251497006
12,1,1,0.0,0.4634057971014492,180,11,16.363636363636363,32.77777777777778,19.65656565656566,16.363636363636363,59,423,4,7.177777777777778
13,1,1,0.0,0.3673737373737374,335,8,41.875,54.328358208955216,38.48134328358209,41.875,182,973,1,8.567164179104477
14,2,0,1.0,0.45123210123210117,318,6,53.0,33.33333333333333,34.53333333333333,53.0,106,717,10,7.220125786163522
15,3,2,0.2,0.4118551587301587,311,7,44.42857142857143,30.22508038585209,29.861460725769405,44.42857142857143,94,703,10,7.266881028938907
16,1,2,-0.3333333333333333,0.43183647628092064,216,14,15.428571428571429,31.01851851851852,18.57883597883598,15.428571428571429,67,491,8,6.9907407407407405
17,6,1,0.7142857142857143,0.4517573989796212,351,5,70.2,31.054131054131055,40.50165242165242,70.2,109,815,13,6.931623931623932
18,0,2,-1.0,0.4761574074074075,112,3,37.333333333333336,39.285714285714285,30.64761904761905,37.333333333333336,44,300,7,8.651785714285714
19,0,0,0.0,0.44332421964000907,204,5,40.8,49.50980392156863,36.12392156862745,40.8,101,604,1,8.990196078431373
20,0,4,-1.0,0.3199642311711277,425,18,23.61111111111111,30.117647058823525,21.491503267973854,23.61111111111111,128,1012,10,7.456470588235294
21,1,8,-0.7777777777777778,0.3507565880447236,819,36,22.75,31.013431013431013,21.50537240537241,22.75,254,1941,13,7.4493284493284495
22,1,3,-0.5,0.3997398434898436,476,18,26.444444444444443,38.655462184873954,26.03996265172736,26.444444444444443,184,1189,6,7.7521008403361344
23,0,0,0.0,0.30000000000000004,15,2,7.5,33.33333333333333,16.333333333333332,7.5,5,151,0,36.06666666666667
24,2,1,0.3333333333333333,0.4586339586339586,442,8,55.25,57.23981900452488,44.99592760180996,55.25,253,1310,5,8.855203619909503
25,0,2,-1.0,0.35000000000000003,81,2,40.5,46.913580246913575,34.965432098765426,40.5,38,237,0,9.444444444444445
26,1,0,1.0,0.38484848484848483,77,3,25.666666666666668,46.75324675324675,28.967965367965366,25.666666666666668,36,204,0,8.766233766233766
27,1,3,-0.5,0.337037037037037,99,4,24.75,34.34343434343434,23.637373737373736,24.75,34,238,2,8.030303030303031
28,0,1,-1.0,0.3303030303030303,58,2,29.0,48.275862068965516,30.91034482758621,29.0,28,169,0,9.344827586206897
29,0,0,0.0,0.35000000000000003,63,3,21.0,42.857142857142854,25.542857142857144,21.0,27,179,0,9.746031746031745
30,0,1,-1.0,0.5123672380251328,389,13,29.923076923076923,35.47557840616967,26.15946213169864,29.923076923076923,138,889,21,7.02827763496144
31,0,0,0.0,0.4985795454545454,100,5,20.0,41.0,24.400000000000002,20.0,41,294,2,9.15
32,0,1,-1.0,0.6133715986394558,316,13,24.307692307692307,40.189873417721515,25.79902629016553,24.307692307692307,127,777,3,7.231012658227848
33,0,0,0.0,0.45861111111111114,149,6,24.833333333333332,34.899328859060404,23.893064876957496,24.833333333333332,52,362,2,7.469798657718121
34,0,1,-1.0,0.46418650793650784,241,15,16.066666666666666,43.15352697095436,23.68807745504841,16.066666666666666,104,641,14,7.83402489626556
35,0,1,-1.0,0.4277847152847153,295,9,32.77777777777778,54.91525423728814,35.07721280602637,32.77777777777778,162,870,4,9.183050847457627
36,0,1,-1.0,0.4269834710743801,266,6,44.333333333333336,35.338345864661655,31.868671679198,44.333333333333336,94,625,7,7.112781954887218
37,2,0,1.0,0.42500000000000004,207,10,20.7,40.57971014492754,24.511884057971017,20.7,84,543,0,7.980676328502415
38,0,1,-1.0,0.5546296296296296,208,8,26.0,39.90384615384615,26.361538461538466,26.0,83,517,8,7.677884615384615
39,0,0,0.0,0.17460317460317462,144,3,48.0,44.44444444444444,36.97777777777778,48.0,64,397,0,8.29861111111111
40,0,0,0.0,0.35111111111111104,143,3,47.666666666666664,47.55244755244755,38.08764568764569,47.666666666666664,68,402,0,8.475524475524475
41,0,0,0.0,0.14583333333333334,123,4,30.75,51.21951219512195,32.78780487804878,30.75,63,370,0,9.032520325203253
42,0,0,0.0,0.24074074074074078,130,4,32.5,43.84615384615385,30.538461538461537,32.5,57,357,0,8.5
43,0,0,0.0,0.3216931216931217,139,8,17.375,43.16546762589928,24.216187050359714,17.375,60,384,0,8.453237410071942
44,0,0,0.0,0.24444444444444446,147,3,49.0,37.41496598639456,34.565986394557825,49.0,55,380,0,7.850340136054422
45,0,0,0.0,0.3673767752715121,146,4,36.5,43.83561643835616,32.134246575342466,36.5,64,400,0,8.08904109589041
46,4,0,1.0,0.42123824451410663,301,10,30.1,55.48172757475083,34.23269102990033,30.1,167,870,3,8.691029900332225
47,0,0,0.0,0.4464165464165464,245,14,17.5,35.91836734693877,21.367346938775512,17.5,88,576,4,7.163265306122449
48,2,1,0.3333333333333333,0.39863447399161683,586,20,29.3,32.081911262798634,24.552764505119455,29.3,188,1353,6,7.023890784982935
49,6,5,0.09090909090909091,0.45522288522288523,357,11,32.45454545454545,49.01960784313725,32.58966131907308,32.45454545454545,175,964,4,7.915966386554622
50,2,0,1.0,0.41069043201696265,569,13,43.76923076923077,39.19156414762742,33.18431796674328,43.76923076923077,223,1410,3,7.1441124780316345
51,2,4,-0.3333333333333333,0.2539593413122825,875,32,27.34375,33.25714285714286,24.240357142857146,27.34375,291,2010,5,6.893714285714286
52,0,0,0.0,0.35130208333333335,223,9,24.77777777777778,27.802690582959645,21.03218734429497,24.77777777777778,62,522,14,7.286995515695067
53,0,0,0.0,0.45999999999999996,95,2,47.5,26.31578947368421,29.526315789473685,47.5,25,247,0,7.6947368421052635
54,0,0,0.0,0.29809523809523814,75,4,18.75,41.333333333333336,24.033333333333335,18.75,31,197,1,8.24
55,7,0,1.0,0.3712082478924584,811,21,38.61904761904762,51.048088779284825,35.86685455933298,38.61904761904762,414,2294,10,8.522811344019729
56,1,2,-0.3333333333333333,0.359090909090909,618,44,14.045454545454545,42.55663430420712,22.640835539864668,14.045454545454545,263,1583,4,7.532362459546926
57,8,2,0.6,0.4537459447118539,1010,49,20.612244897959183,53.069306930693074,29.472620731460907,20.612244897959183,536,2828,45,8.214851485148515
58,0,1,-1.0,0.33556149732620316,182,9,20.22222222222222,46.7032967032967,26.770207570207575,20.22222222222222,85,524,3,9.016483516483516
59,16,4,0.6,0.5299579124579125,597,41,14.560975609756097,48.24120603015075,25.120872655962742,14.560975609756097,288,1800,3,8.78894472361809
60,1,0,1.0,0.44526128633271483,474,15,31.6,32.70042194092827,25.72016877637131,31.6,155,1063,28,6.981012658227848
61,2,0,1.0,0.3657070707070707,400,18,22.22222222222222,50.24999999999999,28.988888888888887,22.22222222222222,201,1146,1,8.3775
62,0,1,-1.0,0.2943181818181818,206,5,41.2,39.80582524271845,32.402330097087386,41.2,82,521,2,7.597087378640777
63,1,1,0.0,0.34264069264069263,222,5,44.4,51.80180180180181,38.480720720720726,44.4,115,615,2,8.265765765765765
64,2,1,0.3333333333333333,0.3113906926406926,211,5,42.2,41.70616113744076,33.56246445497631,42.2,88,537,2,7.95260663507109
65,0,1,-1.0,0.39166973377499686,204,5,40.8,50.49019607843137,36.51607843137255,40.8,103,562,2,8.42156862745098
66,0,1,-1.0,0.47175324675324676,214,5,42.8,44.85981308411215,35.06392523364486,42.8,96,577,2,8.294392523364486
67,1,1,0.0,0.4874458874458874,228,5,45.6,47.368421052631575,37.18736842105263,45.6,108,638,2,8.328947368421053
68,4,0,1.0,0.5881313131313131,492,29,16.96551724137931,38.82113821138211,22.31466218110457,16.96551724137931,191,1198,2,7.65650406504065
69,3,3,0.0,0.5155848696757787,536,25,21.44,38.80597014925373,24.098388059701495,21.44,208,1275,1,7.4533582089552235
70,2,9,-0.6363636363636364,0.39349320270372906,516,28,18.428571428571427,42.054263565891475,24.193133997785164,18.428571428571427,217,1343,6,8.135658914728682
71,1,2,-0.3333333333333333,0.3009641873278236,292,17,17.176470588235293,32.534246575342465,19.884286865431104,17.176470588235293,95,676,1,7.390410958904109
